season,season_type,head_coach,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2023,POST,DeMeco Ryans,HOU,2,1,1,0,55,48,7,27.5,24.0,3.5,0.5
2023,POST,John Harbaugh,BAL,2,1,1,0,44,27,17,22.0,13.5,8.5,0.5
2023,POST,Kevin Stefanski,CLE,1,0,1,0,14,45,-31,14.0,45.0,-31.0,0.0
2023,POST,Kyle Shanahan,SF,3,2,1,0,80,77,3,26.67,25.67,1.0,0.667
2023,POST,Matt LaFleur,GB,2,1,1,0,69,56,13,34.5,28.0,6.5,0.5
2023,POST,Mike McCarthy,DAL,1,0,1,0,32,48,-16,32.0,48.0,-16.0,0.0
2023,POST,Mike McDaniel,MIA,1,0,1,0,7,26,-19,7.0,26.0,-19.0,0.0
2023,POST,Mike Tomlin,PIT,1,0,1,0,17,31,-14,17.0,31.0,-14.0,0.0
2023,POST,Nick Sirianni,PHI,1,0,1,0,9,32,-23,9.0,32.0,-23.0,0.0
2023,POST,Sean McDermott,BUF,2,1,1,0,55,44,11,27.5,22.0,5.5,0.5
2023,POST,Sean McVay,LA,1,0,1,0,23,24,-1,23.0,24.0,-1.0,0.0
2023,POST,Todd Bowles,TB,2,1,1,0,55,40,15,27.5,20.0,7.5,0.5
2023,REG,Andy Reid,KC,17,11,6,0,371,294,77,21.82,17.29,4.53,0.647
2023,REG,Antonio Pierce,LV,9,5,4,0,206,144,62,22.89,16.0,6.89,0.556
2023,REG,Arthur Smith,ATL,17,7,10,0,321,373,-52,18.88,21.94,-3.06,0.412
2023,REG,Bill Belichick,NE,17,4,13,0,236,366,-130,13.88,21.53,-7.65,0.235
2023,REG,Brandon Staley,LAC,14,5,9,0,303,345,-42,21.64,24.64,-3.0,0.357
2023,REG,Brian Daboll,NYG,17,6,11,0,266,407,-141,15.65,23.94,-8.29,0.353
2023,REG,Chris Tabor,CAR,6,1,5,0,63,124,-61,10.5,20.67,-10.17,0.167
2023,REG,Dan Campbell,DET,17,12,5,0,461,395,66,27.12,23.24,3.88,0.706
2023,REG,DeMeco Ryans,HOU,17,10,7,0,377,353,24,22.18,20.76,1.41,0.588
2023,REG,Dennis Allen,NO,17,9,8,0,402,327,75,23.65,19.24,4.41,0.529
2023,REG,Doug Pederson,JAX,17,9,8,0,377,371,6,22.18,21.82,0.35,0.529
2023,REG,Frank Reich,CAR,11,1,10,0,173,292,-119,15.73,26.55,-10.82,0.091
2023,REG,Giff Smith,LAC,3,0,3,0,43,53,-10,14.33,17.67,-3.33,0.0
2023,REG,John Harbaugh,BAL,17,13,4,0,483,280,203,28.41,16.47,11.94,0.765
2023,REG,Jonathan Gannon,ARI,17,4,13,0,330,455,-125,19.41,26.76,-7.35,0.235
2023,REG,Josh McDaniels,LV,8,3,5,0,126,187,-61,15.75,23.38,-7.62,0.375
2023,REG,Kevin O'Connell,MIN,17,7,10,0,344,362,-18,20.24,21.29,-1.06,0.412
2023,REG,Kevin Stefanski,CLE,17,11,6,0,396,362,34,23.29,21.29,2.0,0.647
2023,REG,Kyle Shanahan,SF,17,12,5,0,491,298,193,28.88,17.53,11.35,0.706
2023,REG,Matt Eberflus,CHI,17,7,10,0,360,379,-19,21.18,22.29,-1.12,0.412
2023,REG,Matt LaFleur,GB,17,9,8,0,383,350,33,22.53,20.59,1.94,0.529
2023,REG,Mike McCarthy,DAL,17,12,5,0,509,315,194,29.94,18.53,11.41,0.706
2023,REG,Mike McDaniel,MIA,17,11,6,0,496,391,105,29.18,23.0,6.18,0.647
2023,REG,Mike Tomlin,PIT,17,10,7,0,304,324,-20,17.88,19.06,-1.18,0.588
2023,REG,Mike Vrabel,TEN,17,6,11,0,305,367,-62,17.94,21.59,-3.65,0.353
2023,REG,Nick Sirianni,PHI,17,11,6,0,433,428,5,25.47,25.18,0.29,0.647
